"treat","age","educ","black","hisp","marr","nodegree","re74","re75","re78"
1,41,14,0,0,0,0,80.0505099814912,0,5041.52094667489
1,31,9,1,0,0,1,58.2853168026103,2074.08745479765,11056.8339873672
1,19,9,0,0,0,1,0,0,12802.0503370051
1,26,10,1,0,0,1,54.7834816650056,147.692376874956,9307.62503820625
1,29,10,1,0,0,1,47.8179356199992,4599.26747677926,0
1,25,8,1,0,0,1,88.538505468258,180.951345537941,0
1,29,11,1,0,1,1,0,0,9743.80446495638
1,18,10,1,0,0,1,341.593123371162,0,11410.5330172202
1,27,8,1,0,0,1,88.5454103854926,0,591.483309278191
1,46,5,1,0,1,1,0,39.4701695573095,8392.63345270903
1,22,12,0,0,0,0,3501.67009128293,66.6229514895654,12637.0155798165
1,38,9,0,0,0,1,38.1030367842778,6.5889727925098,6427.1658188642
1,21,8,1,0,0,1,962.584544540254,3450.52882964727,4482.32874478447
1,20,12,1,0,0,0,41.6937603327622,0,0
1,28,10,1,0,0,1,18.9655224221985,2749.24885771586,3264.6668086902
1,17,11,1,0,0,1,42.5021363942471,0,5073.59324651249
1,22,8,0,0,1,1,374.490626706992,1608.35300054005,3606.00902005072
1,33,11,1,0,0,1,0,7712.39414419765,5891.79047470319
1,26,10,1,0,1,1,2245.81906468246,52.352378498615,0
1,18,11,1,0,0,1,206.050218915383,0,194.257022307627
1,25,11,1,0,1,1,25.8864410549106,0,0
1,21,12,1,0,0,0,18.0258062386569,96.3614405122607,404.013936292512
1,41,14,0,0,0,0,0,0,5128.73391400665
1,18,10,1,0,0,1,0,581.584947095052,9723.79077016955
1,16,8,1,0,0,1,0,0,7929.14032997507
1,25,11,1,0,0,1,595.679765615897,0,886.162137323424
1,42,9,1,0,1,1,252.097610678106,3104.65244291754,1391.40041418163
1,38,11,1,0,0,1,0,116.653602090145,436.565537610478
1,19,9,1,0,0,1,0,269.291604480636,8349.75298377338
1,25,11,0,0,0,1,0,0,19073.7445749865
1,27,13,1,0,0,0,0,0,14739.6956387055
1,42,14,1,0,1,0,0,0,12720.2693395045
1,21,9,1,0,0,1,13.0294084462038,0,113.318360516549
